productCode,productName,priceEach,quantityOrdered,productLine,orderNumber,orderdate,customerNumber,customerName,city,country,buyPrice,MSRP
S18_1749,"1917 Grand Touring Sedan",136.00,30,"Vintage Cars",10100,2003-01-06,363,"Online Diecast Creations Co.",Nashua,USA,86.70,170.00
S18_2248,"1911 Ford Town Car",55.09,50,"Vintage Cars",10100,2003-01-06,363,"Online Diecast Creations Co.",Nashua,USA,33.30,60.54
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",75.46,22,"Vintage Cars",10100,2003-01-06,363,"Online Diecast Creations Co.",Nashua,USA,43.26,92.03
S24_3969,"1936 Mercedes Benz 500k Roadster",35.29,49,"Vintage Cars",10100,2003-01-06,363,"Online Diecast Creations Co.",Nashua,USA,21.75,41.03
S18_2325,"1932 Model A Ford J-Coupe",108.06,25,"Vintage Cars",10101,2003-01-09,128,"Blauer See Auto, Co.",Frankfurt,Germany,58.48,127.13
S18_2795,"1928 Mercedes-Benz SSK",167.06,26,"Vintage Cars",10101,2003-01-09,128,"Blauer See Auto, Co.",Frankfurt,Germany,72.56,168.75
S24_1937,"1939 Chevrolet Deluxe Coupe",32.53,45,"Vintage Cars",10101,2003-01-09,128,"Blauer See Auto, Co.",Frankfurt,Germany,22.57,33.19
S24_2022,"1938 Cadillac V-16 Presidential Limousine",44.35,46,"Vintage Cars",10101,2003-01-09,128,"Blauer See Auto, Co.",Frankfurt,Germany,20.61,44.80
S18_1342,"1937 Lincoln Berline",95.55,39,"Vintage Cars",10102,2003-01-10,181,"Vitachrome Inc.",NYC,USA,60.62,102.74
S18_1367,"1936 Mercedes-Benz 500K Special Roadster",43.13,41,"Vintage Cars",10102,2003-01-10,181,"Vitachrome Inc.",NYC,USA,24.26,53.91
S10_1949,"1952 Alpine Renault 1300",214.30,26,"Classic Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,98.58,214.30
S10_4962,"1962 LanciaA Delta 16V",119.67,42,"Classic Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,103.42,147.74
S12_1666,"1958 Setra Bus",121.64,27,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,77.90,136.67
S18_1097,"1940 Ford Pickup Truck",94.50,35,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,58.33,116.67
S18_2432,"1926 Ford Fire Engine",58.34,22,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,24.92,60.77
S18_2949,"1913 Ford Model T Speedster",92.19,27,"Vintage Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,60.78,101.31
S18_2957,"1934 Ford V8 Coupe",61.84,35,"Vintage Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,34.35,62.46
S18_3136,"18th Century Vintage Horse Carriage",86.92,25,"Vintage Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,60.74,104.72
S18_3320,"1917 Maxwell Touring Car",86.31,46,"Vintage Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,57.54,99.21
S18_4600,"1940s Ford truck",98.07,36,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,84.76,121.08
S18_4668,"1939 Cadillac Limousine",40.75,41,"Vintage Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,23.14,50.31
S24_2300,"1962 Volkswagen Microbus",107.34,36,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,61.34,127.79
S24_4258,"1936 Chrysler Airflow",88.62,25,"Vintage Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,57.46,97.39
S32_1268,"1980’s GM Manhattan Express",92.46,31,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,53.93,96.31
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",63.35,45,"Trucks and Buses",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,33.61,64.64
S700_2824,"1982 Camaro Z28",94.07,42,"Classic Cars",10103,2003-01-29,121,"Baane Mini Imports",Stavern,Norway,46.53,101.15
S12_3148,"1969 Corvair Monza",131.44,34,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,89.14,151.08
S12_4473,"1957 Chevy Pickup",111.39,41,"Trucks and Buses",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,55.70,118.50
S18_2238,"1998 Chrysler Plymouth Prowler",135.90,24,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,101.51,163.73
S18_2319,"1964 Mercedes Tour Bus",122.73,29,"Trucks and Buses",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,74.86,122.73
S18_3232,"1992 Ferrari 360 Spider red",165.95,23,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,77.90,169.34
S18_4027,"1970 Triumph Spitfire",119.20,38,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,91.92,143.62
S24_1444,"1970 Dodge Coronet",52.02,35,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,32.37,57.80
S24_2840,"1958 Chevy Corvette Limited Edition",30.41,44,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,15.91,35.36
S24_4048,"1992 Porsche Cayenne Turbo Silver",106.45,26,"Classic Cars",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,69.78,118.28
S32_2509,"1954 Greyhound Scenicruiser",51.95,35,"Trucks and Buses",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,25.98,54.11
S32_3207,"1950's Chicago Surface Lines Streetcar",56.55,49,Trains,10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,26.72,62.14
S50_1392,"Diamond T620 Semi-Skirted Tanker",114.59,33,"Trucks and Buses",10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,68.29,115.75
S50_1514,"1962 City of Detroit Streetcar",53.31,32,Trains,10104,2003-01-31,141,"Euro+ Shopping Channel",Madrid,Spain,37.49,58.58
S10_4757,"1972 Alfa Romeo GTA",127.84,50,"Classic Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,85.68,136.00
S12_1108,"2001 Ferrari Enzo",205.72,41,"Classic Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,95.59,207.80
S12_3891,"1969 Ford Falcon",141.88,29,"Classic Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,83.05,173.02
S18_3140,"1903 Ford Model A",136.59,22,"Vintage Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,68.30,136.59
S18_3259,"Collectable Wooden Train",87.73,38,Trains,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,67.56,100.84
S18_4522,"1904 Buick Runabout",75.48,41,"Vintage Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,52.66,87.77
S24_2011,"18th century schooner",117.97,43,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,82.34,122.89
S24_3151,"1912 Ford Model T Delivery Wagon",73.46,44,"Vintage Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,46.91,88.51
S24_3816,"1940 Ford Delivery Sedan",75.47,50,"Vintage Cars",10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,48.64,83.86
S700_1138,"The Schooner Bluenose",54.00,41,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,34.00,66.67
S700_1938,"The Mayflower",86.61,29,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,43.30,86.61
S700_2610,"The USS Constitution Ship",60.72,31,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,33.97,72.28
S700_3505,"The Titanic",92.16,39,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,51.09,100.17
S700_3962,"The Queen Mary",99.31,22,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,53.63,99.31
S72_3212,"Pont Yacht",44.77,25,Ships,10105,2003-02-11,145,"Danish Wholesale Imports",Kobenhavn,Denmark,33.30,54.60
S18_1662,"1980s Black Hawk Helicopter",134.04,36,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,77.27,157.69
S18_2581,"P-51-D Mustang",81.10,34,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,49.00,84.48
S18_3029,"1999 Yamaha Speed Boat",80.86,41,Ships,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,51.61,86.02
